Species	ITD Mean_f (mm)	Comment
Andrena alfkenella	1.47	
Andrena ampla		Long confused with A. proxima
Andrena angustior	1.8833	
Andrena apicata	2.84	
Andrena argentata	1.8583	
Andrena barbilabris	2.32	
Andrena bicolor	1.97	
Andrena bimaculata	2.8	
Andrena bucephala	2.17	
Andrena chrysosceles	1.87	
Andrena cineraria	2.86	
Andrena clarkella	2.97	
Andrena coitana	1.54	
Andrena congruens	2.32	
Andrena denticulata	2.125	
Andrena dorsata	1.94	
Andrena falsifica	1.41	
Andrena ferox	2.4	
Andrena flavipes	2.31	
Andrena florea	2.44	
Andrena floricola	1.5	
Andrena fucata	2.24	
Andrena fulva	2.68	
Andrena fulvago	2.09	
Andrena fuscipes	2.19	
Andrena gravida	2.5	
Andrena haemorrhoa	2.43	
Andrena hattorfiana	2.71	
Andrena helvola	2.27	
Andrena humilis	2.25	
Andrena labialis	2.7	
Andrena labiata	1.78	
Andrena lapponica	2.54	
Andrena lathyri	2.64	Possibly extinct in UK
Andrena lepida	2.1	
Andrena marginata	1.96	
Andrena minutula	1.39	
Andrena minutuloides	1.22	
Andrena nana	1.56	Possibly extinct in UK
Andrena nanula	1.21	Possibly extinct in UK
Andrena nigriceps	2.54	
Andrena nigroaenea	2.83	
Andrena nigrospina	3.2	
Andrena nitida	2.88	
Andrena nitidiuscula	1.575	
Andrena niveata	1.508	Status unclear
Andrena ovatula	2.23	
Andrena pilipes	3.21	
Andrena polita	2.3	Recently rediscovered in GB
Andrena praecox	2.36	
Andrena proxima	1.81	Present but also confused with A. ampla
Andrena rosae	2.63	
Andrena ruficrus	1.958	
Andrena scotica	2.86	
Andrena semilaevis	1.44	
Andrena similis	2.39	
Andrena simillima	2.28	
Andrena subopaca	1.38	
Andrena synadelpha	2.266	
Andrena tarsata	1.63	
Andrena thoracica	3.23	
Andrena tibialis	2.93	
Andrena tridentata		Extinct
Andrena trimmerana	2.66	
Andrena vaga	2.67	Recently re-colonised
Andrena varians	2.541	
Andrena wilkella	2.33	
Anthidium manicatum	3.6	
Anthophora bimaculata	3.25	
Anthophora furcata	3.17	
