Species	forewing_minimum	forewing_maximum	estimated_dry_mass	AvgFlightDistance	<1_gen/yr	1_gen/yr	?2_gen/yr	Dist_Reference	AvgFlightDistKm
Agrotis exclamationis	15	19	42.7	721.7648091			1	Jones	0.721764809
Agrotis puta	12	16	30.4	41.67085139			1	Jones	0.041670851
Amphipoea oculea	12	15	28.5	148.1874387		1		Jones	0.148187439
Amphipyra pyramidea	21	26	75.5	5215.524499		1		Jones	5.215524499
Apamea anceps	16	21	49.6	237.0755167		1		Jones	0.237075517
Apamea monoglypha	19	26	70	570.5695792		1		Jones	0.570569579
Apamea sordens	16	19	45	466.7591409		1		Jones	0.466759141
Axylia putris	14	16	34.3	437.1312872		1		Jones	0.437131287
Charanyca trigrammica	15	17	38.4	359.4814236		1		Jones	0.359481424
Cosmia trapezina	13	16	32.3	358.3456937		1		Jones	0.358345694
Hoplodrina ambigua	13	15	30.4	136.4013282			1	Jones	0.136401328
Hoplodrina octogenaria	14	16	34.3	213.5451903		1		Jones	0.21354519
Hydraecia micacea	14	21	45	614.5805121		1		Jones	0.614580512
Lacanobia oleracea	14	19	40.6	433.2200448		1		Jones	0.433220045
Mesapamea didyma	11	16	28.5	283.2622415		1		Jones	0.283262242
Mesapamea secalis	12	16	30.4	386.4309785		1		Jones	0.386430979
Mythimna impura	14	18	38.4	54.29643279		1		Jones	0.054296433
Mythimna pallens	14	17	36.3	169.7991175		1	1	Jones	0.169799118
Noctua comes	16	21	49.6	1731.735017		1		Jones	1.731735017
Noctua janthe	16	20	47.3	638.9839569		1		Jones	0.638983957
Noctua pronuba	21	26	75.5	4065.687011		1		Jones	4.065687011
Ochropleura plecta	12	15	28.5	54.99112677		1	1	Jones	0.054991127
Oligia fasciuncula	10	12	19.9	267.4735294		1		Jones	0.267473529
Oligia latruncula	11	13	23.2	93.35882353		1		Jones	0.093358824
Oligia strigilis	11	13	23.2	235.1459921		1		Jones	0.235145992
Omphaloscelis lunosa	14	17	36.3	231.4382203		1		Jones	0.23143822
Phlogophora meticulosa	21	25	72.7	754.6473804			1	Jones	0.75464738
Thalpophila matura	17	20	49.6	5312.048333		1		Jones	5.312048333
Xestia c-nigrum	14	19	40.6	826.2210696			1	Jones	0.82622107
Xestia triangulum	17	19	47.3	362.3651015		1		Jones	0.362365102
Xestia xanthographa	14	17	36.3	551.8763127		1		Jones	0.551876313
