Group	Species 	dist	R
Moths	Sphinx ligustri	741.1293989	100
Moths	Smerinthus ocellata	194.5800925	100
Moths	Laothoe populi	133.6044563	100
Moths	Sphinx pinastri	133.6044563	100
Moths	Cossus cossus	109.8916895	100
Moths	Dendrolimus pini	81.11324377	100
Moths	Gastropacha quercifolia	73.08885485	100
Moths	Saturnia pavonia	59.10398659	100
Moths	Cerura vinula	53.00387085	100
Moths	Endromis versicolora	47.48391318	100
Moths	Lasiocampa quercus	42.46176143	100
Moths	Catocala fraxini	39.96600223	100
Moths	Mimas tiliae	30.03259259	100
Moths	Deilephila elpenor	26.63296689	100
Moths	Stauropus fagi	16.20951881	100
Moths	Zeuzera pyrina	16.20951881	100
Moths	Euthrix potatoria	14.22799309	100
Moths	Hepialus humuli	14.22799309	100
Moths	Phalera bucephala	14.22799309	100
Moths	Peridea anceps	12.46738114	100
Moths	Catocala nupta	12.43138894	100
Moths	Catocala electa	11.46527981	100
Bees	Xylocopa violacea	10.42849415	100
Moths	Macrothylacia rubi	9.498315091	100
Moths	Mormo maura	7.880816079	100
Bees	Bombus lapidarius	7.54080583	100
Bees	Bombus terrestris	7.219159098	100
Moths	Lasiocampa trifolii	7.169942584	100
Bees	Bombus ruderatus	7.023022683	100
Bees	Bombus hypnorum	6.716918088	200
Bees	Bombus hortorum	6.311262981	100
Moths	Arctia caja	6.278454995	100
Moths	Pheosia tremula	6.19428286	100
Bees	Bombus rupestris	6.13260701	100
Bees	Bombus subterraneus	6.027109492	100
Bees	Bombus distinguendus	5.785840938	100
Moths	Catocala sponsa	5.224561974	100
Bees	Bombus barbutellus	4.797200817	100
Bees	Bombus vestalis	4.797200817	100
Bees	Bombus cryptarum	4.476540427	100
Bees	Bombus monticola	4.476540427	100
Bees	Bombus muscorum	4.448146172	100
Bees	Bombus pratorum	4.448146172	200
Bees	Bombus jonellus	4.419876711	200
Moths	Euplagia quadripunctaria	4.320518255	100
Bees	Bombus cullumanus	4.06359161	100
Bees	Bombus pascuorum	3.906063698	100
Bees	Bombus lucorum	3.880226371	100
Bees	Bombus soroeensis	3.803423772	100
Bees	Bombus pomorum	3.727678922	100
Bees	Bombus ruderarius	3.603766011	100
Moths	Deilephila porcellus	3.36204227	100
Moths	Pheosia gnoma	3.36204227	100
Bees	Bombus bohemicus	3.294968696	100
Moths	Catocala promissa	3.204900305	100
Moths	Xylena exsoleta	3.123951328	100
Moths	Xylena vetusta	3.123951328	100
Bees	Bombus humilis	3.070259437	100
Bees	Bombus campestris	2.940649892	100
Moths	Arctia villica	2.895996497	100
Bees	Bombus sylvarum	2.877286815	100
Moths	Eurois occulta	2.656070655	100
Bees	Bombus sylvestris	2.633260108	100
Moths	Hemaris fuciformis	2.428157433	100
Moths	Lymantria dispar	2.345750743	100
Bees	Anthophora plumipes	2.258967941	100
Moths	Noctua fimbriata	2.245068207	100
Moths	Cucullia umbratica	2.057676466	100
Moths	Pterostoma palpina	2.051384127	100
Moths	Amphipyra berbera	1.87973995	100
Moths	Amphipyra pyramidea	1.87973995	100
Moths	Noctua pronuba	1.87973995	100
Moths	Polia nebulosa	1.87973995	100
Moths	Bena bicolorana	1.728133318	100
Moths	Notodonta dromedarius	1.728133318	100
Moths	Phlogophora meticulosa	1.716778393	200
Moths	Polia hepatica	1.716778393	100
Moths	Calliteara pudibunda	1.682975244	100
Bees	Anthophora retusa	1.62642777	100
Bees	Megachile maritima	1.609534207	100
Moths	Anaplectoides prasina	1.567738138	100
Moths	Apamea monoglypha	1.567738138	100
Moths	Gortyna borelii	1.567738138	100
Bees	Anthidium manicatum	1.447213841	100
Moths	Notodonta ziczac	1.446961034	100
Moths	Brachionycha nubeculosa	1.426531003	100
Moths	Diachrysia chryson	1.426531003	100
Moths	Nonagria typhae	1.426531003	100
Bees	Megachile circumcincta	1.421309872	100
Bees	Eucera nigrescens	1.345523586	100
Bees	Megachile ligniseca	1.345523586	100
Moths	Callimorpha dominula	1.336684432	100
Bees	Melitta dimidiata	1.296581763	100
Moths	Cucullia verbasci	1.29303481	100
Moths	Trigonophora flammea	1.29303481	100
Bees	Eucera longicornis	1.284541552	100
Moths	Korscheltellus fusconebulosa	1.208259525	100
Bees	Colletes cunicularius	1.179635795	100
Bees	Megachile willughbiella	1.179635795	100
Moths	Cucullia asteris	1.17165396	100
Moths	Cucullia chamomillae	1.17165396	100
Moths	Hydraecia petasitis	1.17165396	100
Moths	Polia bombycina	1.17165396	100
Moths	Trachea atriplicis	1.17165396	100
Bees	Melecta luctuosa	1.168358543	100
Bees	Osmia xanthomelana	1.157156069	100
Bees	Apis mellifera	1.091496112	200
Bees	Osmia cornuta	1.091496112	100
Bees	Megachile ericetorum	1.059653347	100
Moths	Apamea lithoxylaea	1.057192856	100
Moths	Dasypolia templi	1.057192856	100
Moths	Griposia aprilina	1.057192856	100
Moths	Mythimna turca	1.057192856	100
Bees	Colletes halophilus	1.05231692	100
Bees	Anthophora bimaculata	1.038785446	100
Bees	Andrena thoracica	1.018203481	100
Bees	Melecta albifrons	1.018203481	100
Moths	Hemaris tityus	1.002520619	100
Moths	Odontosia carmelita	1.002520619	100
Moths	Ptilodon capucina	1.002520619	100
Bees	Andrena pilipes	0.997905267	200
Bees	Andrena nigrospina	0.987861886	100
Bees	Colletes hederae	0.987861886	100
Bees	Anthophora furcata	0.958151377	100
Moths	Acronicta aceris	0.953550418	100
Moths	Apamea crenata	0.953550418	100
Moths	Spaelotis ravida	0.953550418	100
Bees	Coelioxys conoideus	0.948386846	100
Bees	Megachile versicolor	0.948386846	100
Bees	Anthophora quadrimaculata	0.87273305	100
Hoverfly	Merodon clavipes	0.86152	100
Moths	Apamea exulis	0.856089925	100
Moths	Apamea oblonga	0.856089925	100
Moths	Apamea sublustris	0.856089925	100
Moths	Asteroscopus sphinx	0.856089925	100
Moths	Autographa bractea	0.856089925	100
Moths	Coenophila subrosea	0.856089925	100
Moths	Cucullia lychnitis	0.856089925	100
Moths	Graphiphora augur	0.856089925	100
Moths	Lacanobia w-latinum	0.856089925	100
Moths	Mniotype adusta	0.856089925	100
Moths	Mythimna unipuncta	0.856089925	
Moths	Naenia typica	0.856089925	100
Moths	Polymixis flavicincta	0.856089925	100
Moths	Rhizedra lutosa	0.856089925	100
Moths	Xylena solidaginis	0.856089925	100
Moths	Drepana falcataria	0.829893881	100
Moths	Furcula bifida	0.829893881	100
Moths	Phragmataecia castaneae	0.829893881	100
Moths	Sesia apiformis	0.829893881	100
Moths	Tetheella fluctuosa	0.829893881	100
Moths	Triodia sylvina	0.829893881	100
Moths	Dicallomera fascelina	0.818812128	100
Moths	Lymantria monacha	0.818812128	100
Bees	Colletes succinctus	0.792731275	100
Bees	Osmia bicornis	0.784168022	100
Bees	Andrena clarkella	0.775668953	100
Moths	Actebia praecox	0.768241723	100
Moths	Aporophyla nigra	0.768241723	100
Moths	Autographa jota	0.768241723	100
Moths	Hydraecia osseola	0.768241723	100
Moths	Rhyacia simulans	0.768241723	100
Moths	Standfussiana lucernea	0.768241723	100
Moths	Tholera decimalis	0.768241723	100
Moths	Xestia baja	0.768241723	100
Bees	Coelioxys elongatus	0.7672338	100
Bees	Andrena tibialis	0.742309169	100
Moths	Leucoma salicis	0.719541499	100
Bees	Andrena nitida	0.702021552	100
Bees	Coelioxys rufescens	0.702021552	100
Bees	Andrena cineraria	0.686339003	100
Bees	Andrena scotica	0.686339003	100
Moths	Acronicta leporina	0.68588941	100
Moths	Acronicta psi	0.68588941	100
Moths	Acronicta tridens	0.68588941	100
Moths	Agrotis segetum	0.68588941	100
Moths	Allophyes oxyacanthae	0.68588941	100
Moths	Anorthoa munda	0.68588941	100
Moths	Apamea anceps	0.68588941	100
Moths	Apamea epomidion	0.68588941	100
Moths	Autographa pulchrina	0.68588941	100
Moths	Cirrhia ocellaris	0.68588941	100
Moths	Enargia paleacea	0.68588941	100
Moths	Eupsilia transversa	0.68588941	100
Moths	Lithophane leautieri	0.68588941	100
Moths	Lithophane socia	0.68588941	100
Moths	Melanchra persicariae	0.68588941	100
Moths	Moma alpium	0.68588941	100
Moths	Noctua comes	0.68588941	100
Moths	Noctua orbona	0.68588941	100
Moths	Polychrysia moneta	0.68588941	100
Moths	Polyphaenis sericata	0.68588941	100
Moths	Sideridis turbida	0.68588941	100
Moths	Subacronicta megacephala	0.68588941	100
Moths	Thalpophila matura	0.68588941	100
Moths	Xestia stigmatica	0.68588941	100
Moths	Achlya flavicornis	0.682575824	100
Moths	Drymonia dodonaea	0.682575824	100
Moths	Habrosyne pyritoides	0.682575824	100
Moths	Poecilocampa populi	0.682575824	100
Moths	Sabra harpagula	0.682575824	100
Bees	Andrena apicata	0.670900412	100
Hoverfly	Volucella pellucens	0.670105	100
Bees	Andrena nigroaenea	0.663271939	100
Bees	Osmia aurulenta	0.663271939	100
Hoverfly	Criorhina ranunculi	0.64276	100
Hoverfly	Doros profuges	0.64276	100
Hoverfly	Sericomyia silentis	0.64276	100
Bees	Andrena bimaculata	0.64074664	200
Bees	Megachile lapponica	0.64074664	100
Moths	Lithosia quadra	0.63082568	100
Moths	Acronicta menyanthidis	0.612030492	100
Moths	Acronicta rumicis	0.612030492	100
Moths	Agrotis bigramma	0.612030492	100
Moths	Apamea remissa	0.612030492	100
Moths	Ceramica pisi	0.612030492	100
Moths	Craniophora ligustri	0.612030492	100
Moths	Diarsia brunnea	0.612030492	100
Moths	Eugnorisma depuncta	0.612030492	100
Moths	Lacanobia thalassina	0.612030492	100
Moths	Lithophane ornitopus	0.612030492	100
Moths	Lithophane semibrunnea	0.612030492	100
Moths	Mamestra brassicae	0.612030492	200
Moths	Noctua janthe	0.612030492	100
Moths	Orthosia incerta	0.612030492	100
Moths	Sideridis reticulata	0.612030492	100
Moths	Simyra albovenosa	0.612030492	200
Moths	Xestia ashworthii	0.612030492	100
Moths	Xestia ditrapezium	0.612030492	100
Moths	Xestia triangulum	0.612030492	100
Bees	Coelioxys inermis	0.590254493	100
Bees	Coelioxys quadridentatus	0.590254493	100
Bees	Dasypoda hirtipes	0.590254493	100
Hoverfly	Callicera aurata	0.58807	50
Hoverfly	Callicera spinolae	0.58807	50
Hoverfly	Eristalis similis	0.58807	100
Hoverfly	Helophilus hybridus	0.58807	100
Hoverfly	Mallota cimbiciformis	0.58807	100
Hoverfly	Merodon equestris	0.58807	100
Bees	Osmia bicolor	0.58327369	100
Bees	Andrena hattorfiana	0.57635019	100
Bees	Megachile leachella	0.57635019	100
Bees	Melitta tricincta	0.57635019	100
Bees	Andrena labialis	0.569483733	100
Bees	Megachile centuncularis	0.569483733	100
Bees	Osmia inermis	0.569483733	100
Moths	Hypomecis roboraria	0.569458378	100
Bees	Osmia leaiana	0.562674057	100
Hoverfly	Caliprobola speciosa	0.560725	50
Hoverfly	Pocota personata	0.560725	100
Hoverfly	Sericomyia superbiens	0.560725	100
Hoverfly	Volucella bombylans	0.560725	100
Hoverfly	Volucella inflata	0.560725	100
Moths	Drymonia ruficornis	0.55762266	100
Moths	Eriogaster lanestris	0.55762266	100
