"","Group","Species","dist","R","logdist"
"497","Moths","Abraxas grossulariata",0.1248384,100,-0.903651806136343
"498","Moths","Abraxas sylvata",0.080293982,100,-1.09531700368935
"499","Moths","Abrostola tripartita",0.370519106,100,-0.431189392498602
"500","Moths","Abrostola triplasia",0.370519106,100,-0.431189392498602
"501","Moths","Acasis viretata",0.0035005,200,-2.45586991801204
"502","Moths","Achlya flavicornis",0.681330565,100,-0.166642127847496
"503","Moths","Acosmetia caliginosa",0.110612874,100,-0.956194323467317
"504","Moths","Acronicta aceris",0.951731245,100,-0.0214856727203333
"505","Moths","Acronicta alni",0.542071807,100,-0.265943179664117
"506","Moths","Acronicta cinerea",0.282598983,100,-0.548829405397166
"507","Moths","Acronicta leporina",0.684637277,100,-0.164539458171176
"508","Moths","Acronicta menyanthidis",0.610930597,100,-0.214008123721312
"509","Moths","Acronicta psi",0.684637277,100,-0.164539458171176
"510","Moths","Acronicta rumicis",0.610930597,100,-0.214008123721312
"511","Moths","Acronicta tridens",0.684637277,100,-0.164539458171176
"512","Moths","Actebia praecox",0.76681751,100,-0.115307978723612
"513","Moths","Adscita geryon",0.010809707,100,-1.96618607755527
"514","Moths","Adscita statices",0.050993752,100,-1.29248303249324
"515","Moths","Aethalura punctulata",0.011106741,100,-1.95441335540192
"516","Moths","Agriopis aurantiaria",0.058581109,100,-1.23224241094016
"517","Moths","Agriopis leucophaearia",0.016893077,100,-1.77229123838573
"518","Moths","Agriopis marginaria",0.042034486,100,-1.37639425879109
"519","Moths","Agrochola circellaris",0.423500526,100,-0.373146045926531
"520","Moths","Agrochola haematidea",0.244667819,100,-0.611423149364234
"521","Moths","Agrochola helvola",0.477965414,100,-0.320603528183669
"522","Moths","Agrochola litura",0.323754634,100,-0.489784006675244
"523","Moths","Agrochola lota",0.423500526,100,-0.373146045926531
"524","Moths","Agrochola lychnidis",0.423500526,100,-0.373146045926531
"525","Moths","Agrochola macilenta",0.282598983,100,-0.548829405397166
"526","Moths","Agrotis bigramma",0.610930597,100,-0.214008123721312
"527","Moths","Agrotis cinerea",0.282598983,100,-0.548829405397166
